                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
145,1.1563,0.78942,1.0004,0.83458,0.79298,0.82086,0.46396,1.3389,0.75599,1.0323,0.00047704,0.00047704,0.00047704
146,1.1513,0.76254,0.9848,0.81109,0.76964,0.82115,0.44921,1.3493,0.76757,1.047,0.00047404,0.00047404,0.00047404
147,1.1515,0.76369,0.99134,0.81948,0.79462,0.82724,0.45819,1.3587,0.75572,1.0355,0.00047104,0.00047104,0.00047104
148,1.162,0.77794,0.9874,0.84037,0.80035,0.82434,0.45328,1.3505,0.75627,1.0287,0.00046804,0.00046804,0.00046804
149,1.1262,0.73459,0.98333,0.81133,0.79464,0.80687,0.4514,1.3444,0.76007,1.0401,0.00046504,0.00046504,0.00046504
150,1.1673,0.7733,0.99097,0.83708,0.79524,0.8278,0.46521,1.3286,0.74232,1.0424,0.00046204,0.00046204,0.00046204
151,1.1449,0.77425,0.99257,0.7912,0.84014,0.83618,0.47266,1.3094,0.73908,1.0279,0.00045904,0.00045904,0.00045904
152,1.1121,0.74485,0.98528,0.80904,0.79676,0.80339,0.44447,1.3486,0.7675,1.0528,0.00045605,0.00045605,0.00045605
153,1.1263,0.75012,0.98898,0.81727,0.8125,0.82428,0.45604,1.3468,0.74739,1.0506,0.00045305,0.00045305,0.00045305
154,1.138,0.76365,0.98895,0.8373,0.80297,0.84405,0.46789,1.3465,0.74589,1.0415,0.00045005,0.00045005,0.00045005
155,1.1348,0.77796,0.9942,0.82469,0.76817,0.80332,0.44004,1.3659,0.79136,1.0604,0.00044705,0.00044705,0.00044705
156,1.1379,0.75694,0.98955,0.78943,0.82317,0.83953,0.46163,1.3445,0.73071,1.049,0.00044405,0.00044405,0.00044405
157,1.1128,0.75225,0.97865,0.79929,0.79426,0.8084,0.45784,1.329,0.76335,1.0329,0.00044105,0.00044105,0.00044105
158,1.1183,0.76237,0.98356,0.7884,0.80804,0.82753,0.46568,1.3354,0.75422,1.0234,0.00043805,0.00043805,0.00043805
159,1.1195,0.75174,0.97777,0.79846,0.81518,0.83493,0.47168,1.3474,0.74677,1.0488,0.00043505,0.00043505,0.00043505
160,1.1128,0.74197,0.97663,0.79496,0.80066,0.8117,0.45531,1.3513,0.74176,1.0491,0.00043205,0.00043205,0.00043205
161,1.115,0.75376,0.97627,0.83873,0.77597,0.80817,0.44748,1.3508,0.74894,1.0568,0.00042905,0.00042905,0.00042905
162,1.1276,0.75041,0.98403,0.80458,0.81541,0.82143,0.45843,1.3536,0.744,1.0531,0.00042605,0.00042605,0.00042605
163,1.1116,0.74024,0.98548,0.81366,0.81832,0.83867,0.46343,1.3496,0.7335,1.0593,0.00042305,0.00042305,0.00042305
164,1.1352,0.73873,0.98454,0.7849,0.82633,0.83289,0.45231,1.3463,0.72994,1.0429,0.00042005,0.00042005,0.00042005
